"","level","storage"
"1",132.87,39.87
"2",132.87,39.87
"3",132.87,39.87
"7",132.82,39.43
"8",132.82,39.43
"9",132.82,39.43
"10",132.82,39.43
"11",132.82,39.43
"12",132.82,39.43
"13",132.82,39.43
"17",132.71,38.46
"18",132.71,38.46
"19",132.71,38.46
"20",132.71,38.46
"21",132.71,38.46
"22",132.71,38.46
"23",132.71,38.46
"28",132.58,37.33
"29",132.57,37.25
"30",132.55,37.08
"31",132.53,36.91
"32",132.52,36.82
"33",132.51,36.74
"34",132.51,36.74
"35",132.5,36.65
"36",132.49,36.57
"37",132.48,36.48
"38",132.47,36.4
"39",132.45,36.23
"40",132.43,36.06
"41",132.42,35.97
"42",132.41,35.89
"43",132.4,35.8
"44",132.38,35.64
"45",132.37,35.56
"46",132.35,35.4
"47",132.31,35.08
"48",132.27,34.77
"49",132.24,34.54
"50",132.22,34.39
"51",132.21,34.32
"52",132.19,34.16
"53",132.17,34.01
"54",132.17,34.01
"55",132.12,33.63
"56",132.09,33.5
"57",132.07,33.25
"58",132.06,33.18
"59",132.05,33.1
"60",132.04,33.02
"61",132.03,32.95
"62",132.01,32.8
"63",132,32.72
"64",132.91,40.22
"65",133.03,41.34
"66",133.21,43.05
"67",133.27,43.62
"68",133.32,44.09
"69",133.37,44.57
"70",133.37,44.57
"71",133.37,44.57
"72",133.53,46.09
"73",133.58,46.56
"74",133.62,46.94
"75",133.68,47.51
"76",133.74,48.09
"77",133.78,48.48
"78",133.82,48.88
"79",133.85,49.18
"80",133.87,49.38
"81",133.88,49.48
"82",133.92,49.88
"83",133.94,50.08
"84",133.97,50.38
"85",134.11,51.78
"86",134.11,51.78
"87",134.11,51.78
"88",134.11,51.78
"89",134.54,56.24
"90",134.63,57.24
"91",134.71,58.13
"92",134.71,58.13
"93",135.28,64.64
"94",135.41,66.14
"95",135.5,67.17
"96",135.56,67.89
"97",135.61,68.49
"98",135.65,68.98
"99",135.57,68.01
"100",135.43,66.37
"101",135.31,64.99
"102",135.19,63.61
"103",135.09,62.46
"104",135.06,62.11
"105",135.05,62
"106",135.07,62.23
"107",135.12,62.69
"108",135.15,63.15
"109",135.17,63.38
"110",135.19,63.61
"111",135.19,63.61
"112",135.19,63.61
"113",135.3,64.87
"114",135.32,65.1
"115",135.35,65.45
"116",135.37,65.68
"117",135.38,65.79
"118",135.41,66.14
"119",135.43,66.37
"120",135.46,66.71
"121",135.47,66.83
"122",135.48,66.94
"123",135.5,67.17
"124",135.5,67.17
"125",135.51,67.29
"126",135.53,67.53
"127",135.54,67.65
"128",135.54,67.65
"129",135.55,67.77
"130",135.56,67.89
"131",135.56,67.89
"132",135.57,68.01
"133",135.57,68.01
"134",135.56,67.89
"135",135.56,67.89
"136",135.56,67.89
"137",135.55,67.77
"138",135.55,67.77
"139",135.54,67.65
"140",135.54,67.65
"141",135.53,67.53
"142",135.53,67.53
"143",135.53,67.53
"144",135.53,67.53
"145",135.54,67.65
"146",135.53,67.53
"147",135.52,67.41
"148",135.51,67.29
"149",135.51,67.29
"150",135.5,67.17
"151",135.5,67.17
"152",135.5,67.17
"153",135.5,67.17
"154",135.5,67.17
"155",135.5,67.17
"156",135.5,67.17
"160",135.49,67.07
"161",135.49,67.07
"162",135.49,67.07
"163",135.49,67.07
"164",135.49,67.07
"165",135.49,67.07
"166",135.49,67.07
"170",135.46,66.71
"171",135.46,66.71
"172",135.46,66.71
"173",135.46,66.71
"174",135.46,66.71
"175",135.46,66.71
"176",135.46,66.71
"181",135.36,65.56
"182",135.36,65.56
"183",135.36,65.56
"184",135.36,65.56
"185",135.36,65.56
"186",135.36,65.56
"187",135.36,65.56
"191",135.34,65.33
"192",135.34,65.33
"193",135.34,65.33
"194",135.34,65.33
"195",135.34,65.33
"196",135.34,65.33
"197",135.34,65.33
"201",135.29,64.76
"202",135.29,64.76
"203",135.29,64.76
"204",135.29,64.76
"205",135.29,64.76
"206",135.29,64.76
"207",135.29,64.76
"211",135.23,64.07
"212",135.23,64.07
"213",135.23,64.07
"214",135.23,64.07
"215",135.23,64.07
"216",135.23,64.07
"217",135.23,64.07
"221",135.18,63.49
"222",135.18,63.49
"223",135.18,63.49
"224",135.18,63.49
"225",135.18,63.49
"226",135.18,63.49
"227",135.18,63.49
"231",135.15,63.15
"232",135.15,63.15
"233",135.15,63.15
"234",135.15,63.15
"235",135.15,63.15
"236",135.15,63.15
"237",135.15,63.15
"242",135,61.43
"243",135,61.43
"244",135,61.43
"245",135,61.43
"246",135,61.43
"247",135,61.43
"248",135,61.43
"252",134.96,60.97
"253",134.96,60.97
"254",134.96,60.97
"255",134.96,60.97
"256",134.96,60.97
"257",134.96,60.97
"258",134.96,60.97
"262",134.93,60.63
"263",134.93,60.63
"264",134.93,60.63
"265",134.93,60.63
"266",134.93,60.63
"267",134.93,60.63
"268",134.93,60.63
"273",134.9,60.29
"274",134.9,60.29
"275",134.9,60.29
"276",134.9,60.29
"277",134.9,60.29
"278",134.9,60.29
"279",134.9,60.29
"283",134.87,59.95
"284",134.87,59.95
"285",134.87,59.95
"286",134.87,59.95
"287",134.87,59.95
"288",134.87,59.95
"289",134.87,59.95
"293",134.83,59.49
"294",134.83,59.49
"295",134.83,59.49
"296",134.83,59.49
"297",134.83,59.49
"298",134.83,59.49
"299",134.83,59.49
"301",134.8,59.15
"302",134.8,59.15
"303",134.8,59.15
"304",134.8,59.15
"305",134.8,59.15
"306",134.8,59.15
"307",134.8,59.15
"311",134.78,58.92
"312",134.78,58.92
"313",134.78,58.92
"314",134.78,58.92
"315",134.78,58.92
"316",134.78,58.92
"317",134.78,58.92
"321",134.73,58.36
"322",134.73,58.36
"323",134.73,58.36
"324",134.73,58.36
"325",134.73,58.36
"326",134.73,58.36
"327",134.73,58.36
"332",134.6,56.9
"333",134.6,56.9
"334",134.6,56.9
"335",134.6,56.9
"336",134.6,56.9
"337",134.6,56.9
"338",134.6,56.9
"340",134.16,52.28
"341",134.16,52.28
"342",133.98,50.48
"343",133.98,50.48
"344",133.69,47.61
"345",133.69,47.61
"346",133.69,47.61
"347",133.69,47.61
"348",133.69,47.61
"349",133.69,47.61
"350",133.69,47.61
"352",133.61,46.85
"353",133.61,46.85
"354",133.61,46.85
"355",133.61,46.85
"356",133.61,46.85
"357",133.61,46.85
"358",133.61,46.85
"372",133.51,45.9
"373",133.51,45.9
"374",133.51,45.9
"375",133.51,45.9
"376",133.51,45.9
"377",133.51,45.9
"378",133.51,45.9
"381",132.82,39.43
"382",132.82,39.43
"383",132.82,39.43
"384",132.82,39.43
"385",132.82,39.43
"386",132.82,39.43
"387",132.82,39.43
"391",132.71,38.46
"392",132.71,38.46
"393",132.71,38.46
"394",132.71,38.46
"395",132.71,38.46
"396",132.71,38.46
"397",132.71,38.46
"402",132.58,37.33
"403",132.57,37.25
"404",132.55,37.08
"405",132.53,36.91
"406",132.52,36.82
"407",132.51,36.74
"408",132.51,36.74
"409",132.5,36.65
"410",132.49,36.57
"411",132.48,36.48
"412",132.47,36.4
"413",132.45,36.23
"414",132.43,36.06
"415",132.42,35.97
"416",132.41,35.89
"417",132.4,35.8
"418",132.38,35.64
"419",132.37,35.56
"420",132.35,35.4
"421",132.31,35.08
"422",132.27,34.77
"423",132.24,34.54
"424",132.22,34.39
"425",132.21,34.32
"426",132.19,34.16
"427",132.17,34.01
"428",132.17,34.01
"429",132.12,33.63
"430",132.09,33.5
"431",132.07,33.25
"432",132.06,33.18
"433",132.05,33.1
"434",132.04,33.02
"435",132.03,32.95
"436",132.01,32.8
"437",132,32.72
"438",132.91,40.22
"439",133.03,41.34
"440",133.21,43.05
"441",133.27,43.62
"442",133.32,44.09
"443",133.37,44.57
"444",133.37,44.57
"445",133.37,44.57
"446",133.53,46.09
"447",133.58,46.56
"448",133.62,46.94
"449",133.68,47.51
"450",133.74,48.09
"451",133.78,48.48
"452",133.82,48.88
"453",133.85,49.18
"454",133.87,49.38
"455",133.88,49.48
"456",133.92,49.88
"457",133.94,50.08
"458",133.97,50.38
"459",134.11,51.78
"460",134.11,51.78
"461",134.11,51.78
"462",134.11,51.78
"463",134.54,56.24
"464",134.63,57.24
"465",134.71,58.13
"466",134.71,58.13
"467",135.28,64.64
"468",135.41,66.14
"469",135.5,67.17
"470",135.56,67.89
"471",135.61,68.49
"472",135.65,68.98
"473",135.57,68.01
"474",135.43,66.37
"475",135.31,64.99
"476",135.19,63.61
"477",135.09,62.46
"478",135.06,62.11
"479",135.05,62
"480",135.07,62.23
"481",135.12,62.69
"482",135.15,63.15
"483",135.17,63.38
"484",135.19,63.61
"485",135.19,63.61
"486",135.19,63.61
"487",135.3,64.87
"488",135.32,65.1
"489",135.35,65.45
"490",135.37,65.68
"491",135.38,65.79
"492",135.41,66.14
"493",135.43,66.37
"494",135.46,66.71
"495",135.47,66.83
"496",135.48,66.94
"497",135.5,67.17
"498",135.5,67.17
"499",135.51,67.29
"500",135.53,67.53
"501",135.54,67.65
"502",135.54,67.65
"503",135.55,67.77
"504",135.56,67.89
"505",135.56,67.89
"506",135.57,68.01
"507",135.57,68.01
"508",135.56,67.89
"509",135.56,67.89
"510",135.56,67.89
"511",135.55,67.77
"512",135.55,67.77
"513",135.54,67.65
"514",135.54,67.65
"515",135.53,67.53
"516",135.53,67.53
"517",135.53,67.53
"518",135.53,67.53
"519",135.54,67.65
"520",135.53,67.53
"521",135.52,67.41
"522",135.51,67.29
"523",135.51,67.29
"524",135.5,67.17
"525",135.5,67.17
"526",135.5,67.17
"527",135.5,67.17
"528",135.5,67.17
"529",135.5,67.17
"530",135.5,67.17
"534",135.49,67.07
"535",135.49,67.07
"536",135.49,67.07
"537",135.49,67.07
"538",135.49,67.07
"539",135.49,67.07
"540",135.49,67.07
"544",135.46,66.71
"545",135.46,66.71
"546",135.46,66.71
"547",135.46,66.71
"548",135.46,66.71
"549",135.46,66.71
"550",135.46,66.71
"555",135.36,65.56
"556",135.36,65.56
"557",135.36,65.56
"558",135.36,65.56
"559",135.36,65.56
"560",135.36,65.56
"561",135.36,65.56
"565",135.34,65.33
"566",135.34,65.33
"567",135.34,65.33
"568",135.34,65.33
"569",135.34,65.33
"570",135.34,65.33
"571",135.34,65.33
"575",135.29,64.76
"576",135.29,64.76
"577",135.29,64.76
"578",135.29,64.76
"579",135.29,64.76
"580",135.29,64.76
"581",135.29,64.76
"585",135.23,64.07
"586",135.23,64.07
"587",135.23,64.07
"588",135.23,64.07
"589",135.23,64.07
"590",135.23,64.07
"591",135.23,64.07
"595",135.18,63.49
"596",135.18,63.49
"597",135.18,63.49
"598",135.18,63.49
"599",135.18,63.49
"600",135.18,63.49
"601",135.18,63.49
"605",135.15,63.15
"606",135.15,63.15
"607",135.15,63.15
"608",135.15,63.15
"609",135.15,63.15
"610",135.15,63.15
"611",135.15,63.15
"616",135,61.43
"617",135,61.43
"618",135,61.43
"619",135,61.43
"620",135,61.43
"621",135,61.43
"622",135,61.43
"626",134.96,60.97
"627",134.96,60.97
"628",134.96,60.97
"629",134.96,60.97
"630",134.96,60.97
"631",134.96,60.97
"632",134.96,60.97
"636",134.93,60.63
"637",134.93,60.63
"638",134.93,60.63
"639",134.93,60.63
"640",134.93,60.63
"641",134.93,60.63
"642",134.93,60.63
"647",134.9,60.29
"648",134.9,60.29
"649",134.9,60.29
"650",134.9,60.29
"651",134.9,60.29
"652",134.9,60.29
"653",134.9,60.29
"657",134.87,59.95
"658",134.87,59.95
"659",134.87,59.95
"660",134.87,59.95
"661",134.87,59.95
"662",134.87,59.95
"663",134.87,59.95
"667",134.83,59.49
"668",134.83,59.49
"669",134.83,59.49
"670",134.83,59.49
"671",134.83,59.49
"672",134.83,59.49
"673",134.83,59.49
"675",134.8,59.15
"676",134.8,59.15
"677",134.8,59.15
"678",134.8,59.15
"679",134.8,59.15
"680",134.8,59.15
"681",134.8,59.15
"685",134.78,58.92
"686",134.78,58.92
"687",134.78,58.92
"688",134.78,58.92
"689",134.78,58.92
"690",134.78,58.92
"691",134.78,58.92
"695",134.73,58.36
"696",134.73,58.36
"697",134.73,58.36
"698",134.73,58.36
"699",134.73,58.36
"700",134.73,58.36
"701",134.73,58.36
"706",134.6,56.9
"707",134.6,56.9
"708",134.6,56.9
"709",134.6,56.9
"710",134.6,56.9
"711",134.6,56.9
"712",134.6,56.9
"714",134.16,52.28
"715",134.16,52.28
"716",133.98,50.48
"717",133.98,50.48
"718",133.69,47.61
"719",133.69,47.61
"720",133.69,47.61
"721",133.69,47.61
"722",133.69,47.61
"723",133.69,47.61
"724",133.69,47.61
"726",133.61,46.85
"727",133.61,46.85
"728",133.61,46.85
"729",133.61,46.85
"730",133.61,46.85
"731",133.61,46.85
"732",133.61,46.85
"746",133.51,45.9
"747",133.51,45.9
"748",133.51,45.9
"749",133.51,45.9
"750",133.51,45.9
"751",133.51,45.9
"752",133.51,45.9
"756",133.81,48.78
"757",133.81,48.78
"758",133.81,48.78
"759",133.81,48.78
"760",133.81,48.78
"761",133.81,48.78
"762",133.81,48.78
"767",133.85,49.18
"768",133.85,49.18
"769",133.84,49.08
"770",133.83,48.98
"771",133.82,48.88
"772",133.81,48.78
"773",133.8,48.68
"774",133.79,48.58
"775",133.78,48.48
"776",133.8,48.68
"777",133.8,48.68
"778",133.8,48.68
"779",133.8,48.68
"780",133.79,48.58
"781",133.78,48.48
"782",133.77,48.39
"783",133.76,48.29
"784",133.74,48.09
"785",133.73,47.99
"786",133.72,47.9
"787",133.71,47.8
"788",133.7,47.7
"789",133.69,47.61
"790",133.68,47.51
"791",133.68,47.51
"792",136.23,76.05
"793",136.43,78.49
"794",136.71,82.09
"795",136.87,84.25
"796",136.96,85.47
"797",137.04,86.57
"798",137.1,87.4
"799",137.16,88.24
"800",137.2,88.8
"801",137.24,89.36
"802",137.27,89.78
"803",137.29,90.06
"804",137.16,88.24
"805",137.17,88.38
"806",136.97,85.61
"807",136.98,85.75
"808",136.96,85.47
"809",136.96,85.47
"810",136.96,85.47
"811",137,86.02
"812",137.01,86.16
"813",136.98,85.75
"814",136.94,85.2
"815",136.91,84.79
"816",136.88,84.38
"817",136.86,84.11
"818",136.81,83.44
"819",136.71,82.09
"820",136.74,82.49
"821",136.73,82.36
"822",136.63,81.01
"823",136.77,82.9
"824",136.95,85.34
"825",137.04,86.57
"826",136.96,85.47
"827",136.93,85.06
"828",137.06,86.85
"829",137.17,88.38
"830",137.26,89.64
"831",137.29,90.06
"832",137.3,90.2
"833",137.31,90.34
"834",137.3,90.2
"835",137.29,90.06
"836",137.28,89.92
"837",137.27,89.78
"838",137.24,89.36
"839",137.22,89.08
"840",137.19,88.66
"841",137.24,89.36
"842",137.25,89.5
"843",137.27,89.78
"844",137.26,89.64
"845",137.31,90.34
"846",138.34,104.9
"847",138.08,101.1
"848",137.44,92.16
